obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,position-dependent_success,policy_success,difficulty
"[0.016200517946544327, 0.013652643211997002, 0.054980000121842634]","[-0.019070220495743213, 0.05020135556349733, -0.04488127288094557]",[-1.76601604  0.04808351 -1.68188559],CylinderM,normal,TRUE,TRUE,FALSE,med
"[0.05051899177352338, 0.009684937643118622, 0.054980000121842634]","[-0.04336352763119158, 0.06153599808661755, -0.0190518037127548]",[-1.60100079 -0.03387017 -1.65005313],CylinderM,normal,TRUE,TRUE,FALSE,med
"[0.030624727719652186, 0.0005341087642447163, 0.054980000121842634]","[-0.018745452539317246, 0.06545980074462614, -0.04601002927797239]",[-1.75053396 -0.02641044 -1.73466804],CylinderM,normal,TRUE,TRUE,FALSE,med
"[0.016911840395835202, 0.025304121280021304, 0.054980000121842634]","[-8.530997320052233e-05, 0.04056636769606793, -0.0406836979268392]",[-1.7669552  -0.07906195 -1.69279917],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.04264841238822867, -0.0025334426946626975, 0.054980000121842634]","[0.05786132965178516, 0.06358156383556451, -0.042040794545181996]",[-1.70796698 -0.11074602 -1.45833733],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[-0.02355577590803024, 0.02144334325920351, 0.054980000121842634]","[0.029186727169212202, 0.037876955548127034, -0.05553562233266254]",[-1.88039228e+00  1.41993779e-03 -1.67338696e+00],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[0.005702808845167931, 0.0340843681034425, 0.054980000121842634]","[-0.0010070113660998583, 0.035135026711828166, -0.019164550801478768]",[-1.63098011 -0.03436223 -1.55567172],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.007117315208038276, 0.02846853298317625, 0.054980000121842634]","[-0.006075046863000895, 0.04192927685695047, -0.0012675601912891243]",[-1.50940706 -0.00665135 -1.59767916],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.06191740637913107, -0.008611089355684751, 0.054980000121842634]","[0.07574079452207337, 0.0708570819001104, -0.03271899463399137]",[-1.73773703 -0.05106231 -1.6917107 ],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[0.007309066068170559, 0.019865192482233337, 0.054980000121842634]","[0.025953049263321946, 0.04555566510308189, -0.030561899667318843]",[-1.6908955  -0.21891619 -1.53194575],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.06252139035287932, -0.007064865462329053, 0.054980000121842634]","[0.057681004861728696, 0.07169277886033923, -0.0516855911033846]",[-1.80460709  0.03596561 -1.60230054],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[0.006000429551799403, 0.002829239100747649, 0.054980000121842634]","[0.0008055518310962303, 0.06510311412062954, -0.029534904458828982]",[-1.67865978 -0.04902815 -1.51048764],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.019531528892408407, 0.012222917201254017, 0.054980000121842634]","[0.00527549534349727, 0.05100833574149385, -0.05184295035420129]",[-1.82396005 -0.12178969 -1.67164218],CylinderM,normal,TRUE,TRUE,FALSE,med
"[0.005994206120000133, -0.007701348757049626, 0.054980000121842634]","[1.0482833522482832e-05, 0.07764775781650031, -0.01283051465201826]",[-1.58348944 -0.02736178 -1.63875327],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.006065802716582417, 0.026330594443210918, 0.054980000121842634]","[0.024726546174084145, 0.040471953717874654, -0.022504346754813435]",[-1.67566443 -0.09514452 -1.74494195],CylinderM,normal,TRUE,TRUE,FALSE,med
"[-0.022119359846849505, 0.00240008357333875, 0.054980000121842634]","[0.055974446413557435, 0.058839971031654295, -0.022349459120484208]",[-1.61212206 -0.20445299 -1.4898181 ],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[-0.0538889611798498, 0.0011529895262991242, 0.054980000121842634]","[0.04365583918348479, 0.065773764057794, -0.04686791294718484]",[-1.7801558   0.06178265 -1.58220377],CylinderM,normal,FALSE,TRUE,TRUE,med
"[0.04501974613322513, 0.0005981326262250106, 0.054980000121842634]","[-0.035200953588146816, 0.0697447746683201, -0.027804546435400757]",[-1.65016718 -0.04201567 -1.6585761 ],CylinderM,normal,FALSE,TRUE,FALSE,med
"[0.0040561083742479305, 0.0025874710490099203, 0.054980000121842634]","[0.027321279826093184, 0.0626185173572537, -0.032505829868473536]",[-1.71378076 -0.15662935 -1.69302911],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.04471122038754145, -0.008743795832929788, 0.054964731632318714]","[0.06813467690755706, 0.06847231986157575, -0.035178194464777525]",[-1.72118777 -0.11840853 -1.62164892],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[-0.012727824397762235, 0.020179274007159045, 0.054980000121842634]","[0.02165726913654365, 0.043679075013243626, -0.041556503280003695]",[-1.77019632 -0.05393289 -1.58552762],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.01573356807228826, 0.029997698999707997, 0.054980000121842634]","[0.00125103737424684, 0.04104880262024565, 0.006285379829941325]",[-1.45889129 -0.10699944 -1.43678622],CylinderM,normal,TRUE,TRUE,FALSE,med
"[0.016125581516449227, -0.0034778917922356893, 0.054980000121842634]","[0.014183752670838247, 0.07164376340285207, -0.028932886656000523]",[-1.67206917 -0.16673459 -1.56962077],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.030178043710783815, 0.006038663270534711, 0.054980000121842634]","[-0.01891877886549408, 0.06394091835888015, -0.025854866526074008]",[-1.62966727 -0.03269577 -1.80995879],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.04464707650206812, -0.005771884599678857, 0.054980000121842634]","[-0.03893608958500053, 0.07730074047521922, -0.0039426502028605745]",[-1.54679759 -0.03197549 -1.51884671],CylinderM,normal,FALSE,TRUE,FALSE,med
"[0.0040215896678782725, 0.013245373865839464, 0.054980000121842634]","[0.04182614951369483, 0.0478513165694298, -0.03557232059083214]",[-1.70809219 -0.29507208 -1.51409455],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.018899243112525374, 0.014179699169055726, 0.054980000121842634]","[-0.011751424204220486, 0.05566085892426325, -0.019506763057970306]",[-1.624491   -0.04123138 -1.58778048],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.05439477372405281, -0.00474074891502518, 0.054980000121842634]","[-0.0077379238741843714, 0.0820944337125574, -0.01537417270637028]",[-1.59227329 -0.23757989 -1.6857709 ],CylinderM,normal,TRUE,TRUE,FALSE,med
"[0.033843459029300874, -0.0027440267970448855, 0.054980000121842634]","[3.128727751967875e-05, 0.07478447006629207, -0.022450703551418892]",[-1.63666996 -0.1785696  -1.6184482 ],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.007393541867271262, 0.005492447405014161, 0.054980000121842634]","[0.02962850042931723, 0.062385797086386245, -0.0046277096599565345]",[-1.5283071  -0.12911369 -1.51600308],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.0206154865105197, -0.005733750743277434, 0.054980000121842634]","[0.0443718324750607, 0.07063771319192394, -0.020778784908879605]",[-1.66684328 -0.10668753 -1.74571652],CylinderM,normal,FALSE,FALSE,TRUE,med
"[0.029021041205794098, 0.003992304464053003, 0.054980000121842634]","[-0.0029203562817207776, 0.06774183465602901, -0.01813333533303986]",[-1.6122675  -0.1365276  -1.67976299],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.03083144406899752, -0.003620313356699573, 0.054980000121842634]","[-0.0075226111941037906, 0.07619931898530392, -0.006985538510697692]",[-1.54633403 -0.12118782 -1.70388342],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.003478685496620778, 0.010746579649453521, 0.054980000121842634]","[0.019778363579290477, 0.05281963510404219, -0.04319699884616885]",[-1.7705989  -0.09124809 -1.60267306],CylinderM,normal,TRUE,TRUE,FALSE,med
"[-0.024248604581509597, -0.006286711216297111, 0.054980000121842634]","[0.02368478984894299, 0.07144606338026578, -0.04376833114263397]",[-1.764271    0.02960393 -1.67755543],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.04277262115553217, 0.0019405673183545344, 0.054980000121842634]","[0.006924542723545611, 0.07238739876755662, -0.018169275267852086]",[-1.61490077 -0.27316815 -1.58421179],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.033656722312097785, 0.008821879600107229, 0.054980000121842634]","[-0.009002849778738012, 0.06110191965635914, -0.034443897045266854]",[-1.70800716 -0.13119    -1.64026298],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.045778508025032666, -0.0036048179876626407, 0.054980000121842634]","[-0.015843876599487383, 0.07665565229487366, -0.02869871814936946]",[-1.66650187 -0.15492031 -1.61809538],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.0073073322078499045, 0.031945701789786916, 0.054980000121842634]","[0.01828221521184139, 0.032723456593756674, -0.03711905527964509]",[-1.7668281  -0.04441047 -1.69207692],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.03979263427861014, -0.005411013328101457, 0.054980000121842634]","[0.042526636354961594, 0.07482748718369547, -0.009977934923578152]",[-1.61905953  0.00342182 -1.79933068],CylinderM,normal,FALSE,FALSE,TRUE,med
"[-0.00504749646405037, 0.014129679019353851, 0.054980000121842634]","[0.01842103144848424, 0.05436370558426685, -0.01709546393697387]",[-1.62459967 -0.06687199 -1.6999114 ],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.00666730763089347, 0.004665897873068052, 0.054980000121842634]","[0.017340864577606266, 0.0648081674793673, -0.006039516153613277]",[-1.55267661 -0.05825896 -1.64102536],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.02708502819206572, 0.01998582547525746, 0.054980000121842634]","[0.014993785684805819, 0.04762706742293796, -0.03708915211949762]",[-1.75264263 -0.22351188 -1.75225777],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.006257932047977203, -0.0034215927124387705, 0.054980000121842634]","[0.016370414228807573, 0.07169030798252639, -0.02262432998649065]",[-1.64859715 -0.03780244 -1.70751896],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.05164359835999133, 0.009693483393620044, 0.054980000121842634]","[-0.00859451733023009, 0.0676193965996599, -0.012547169842684398]",[-1.58038346 -0.24242604 -1.62617261],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.007292649388416147, 0.028105240758046168, 0.054980000121842634]","[0.02098214511853524, 0.039775611524531615, -0.018994546491337687]",[-1.62938445 -0.08911904 -1.58527119],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.03152788425631904, 0.019519956583131395, 0.054980000121842634]","[-0.0008171554635975943, 0.05259209005888581, -0.020483474447762863]",[-1.63353079 -0.18734099 -1.5928065 ],CylinderM,normal,TRUE,TRUE,TRUE,easy
